pricing_url,SubModel,Current price,COE,Road tax,OMV,ARF,VES,EEAI,spec_url,Model,Engine Type,Battery Type,Fuel Type,Drive Type,Transmission,Power,Torque,Acceleration,Top Speed,Vehicle Type,Seating Capacity,Dimensions (L x W x H),Wheelbase,Min Turning Radius,Kerb Weight,Boot/Cargo Capacity,Battery Capacity,Drive Range,Energy Consumption,AC Max Charging Rate,AC Charging Time,DC Max Charging Rate,DC Charging Time,Suspension (Front),Suspension (Rear),Brakes (Front),Brakes (Rear),Rim Size
https://www.sgcarmart.com/new-cars/info/22089/hyundai-ioniq-9-electric/pricing,Standard 7-Seater 110.3 kWh,"$308,999","$129,910 (Category B COE)","$1,854 /yr",-,- (After VES & EEAI rebates),"$22,500 (Rebate)",,https://www.sgcarmart.com/new-cars/info/22089/hyundai-ioniq-9-electric/specs,Hyundai Ioniq 9 Electric Calligraphy 6-Seater 110.3 kWh (A),Single Electric Motor,Lithium-ion,Electric,Rear-wheel drive,Single-speed (A),160 kW (215 bhp),350 Nm,9.4 s (0-100 km/h),190 km/h,SUV,7,5060 x 1980 x 1790 mm,"3,130 mm","6,240 mm","2,470 kg",338 L,110.3 kWh,620 km,5 km/kWh,11 kW,10 h,350 kW,0.4 h,McPherson Strut,Multi-Link,Ventilated Disc,Ventilated Disc,"20 """
https://www.sgcarmart.com/new-cars/info/22089/hyundai-ioniq-9-electric/pricing,Calligraphy 7-Seater 110.3 kWh,"$337,999","$129,910 (Category B COE)","$2,264 /yr",-,- (After VES & EEAI rebates),"$22,500 (Rebate)",,https://www.sgcarmart.com/new-cars/info/22089/hyundai-ioniq-9-electric/specs,Hyundai Ioniq 9 Electric Calligraphy 6-Seater 110.3 kWh (A),Dual Electric Motors,Lithium-ion,Electric,All-wheel drive,Single-speed (A),226 kW (303 bhp),605 Nm,6.7 s (0-100 km/h),200 km/h,SUV,7,5060 x 1980 x 1790 mm,"3,130 mm","6,240 mm","2,578 kg",338 L,110.3 kWh,600 km,4.9 km/kWh,11 kW,10 h,350 kW,0.4 h,McPherson Strut,Multi-Link,Ventilated Disc,Ventilated Disc,"21 """
https://www.sgcarmart.com/new-cars/info/22089/hyundai-ioniq-9-electric/pricing,Calligraphy 6-Seater 110.3 kWh,"$343,999","$129,910 (Category B COE)","$2,264 /yr",-,- (After VES & EEAI rebates),"$22,500 (Rebate)",,https://www.sgcarmart.com/new-cars/info/22089/hyundai-ioniq-9-electric/specs,Hyundai Ioniq 9 Electric Calligraphy 6-Seater 110.3 kWh (A),Dual Electric Motors,Lithium-ion,Electric,All-wheel drive,Single-speed (A),226 kW (303 bhp),605 Nm,6.7 s (0-100 km/h),200 km/h,SUV,6,5060 x 1980 x 1790 mm,"3,130 mm","6,240 mm","2,610 kg",338 L,110.3 kWh,600 km,4.9 km/kWh,11 kW,10 h,350 kW,0.4 h,McPherson Strut,Multi-Link,Ventilated Disc,Ventilated Disc,"21 """
https://www.sgcarmart.com/new-cars/info/21854/omoda-e5-electric/pricing,[99kW] 61 kWh,"$169,999","$123,890 (Category A COE)","$1,496 /yr","$26,189",- (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21854/omoda-e5-electric/specs,Omoda E5 Electric [99kW] 61 kWh (A),Electric Motor,Lithium Iron Phosphate,Electric,Front-wheel drive,Single-speed (A),99 kW (133 bhp),340 Nm,11.1 s (0-100 km/h),172 km/h,SUV,5,4424 x 1830 x 1588 mm,"2,630 mm","5,450 mm","1,710 kg",380 L,61 kWh,430 km,6.5 km/kWh,9.9 kW,8 h,80 kW,0.5 h,MacPherson Strut,Multi-link,Ventilated disc,Disc,"18 """
https://www.sgcarmart.com/new-cars/info/22102/nio-firefly-electric/pricing,42 kWh,"$179,999","$123,890 (Category A COE)","$1,496 /yr",-,- (After VES & EEAI rebates),"$22,500 (Rebate)",,https://www.sgcarmart.com/new-cars/info/22102/nio-firefly-electric/specs,NIO Firefly Electric 42 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Rear-wheel drive,Single-speed (A),99 kW (133 bhp),205 Nm,9 s (0-100 km/h),150 km/h,Hatchback,5,4003 x 1781 x 1557 mm,"2,615 mm","4,700 mm","1,492 kg",404 L,42 kWh,320 km,6.5 km/kWh,11 kW,4.5 h,100 kW,0.5 h,McPherson Independent,5-Link Independent,Disc,Disc,"18 """
https://www.sgcarmart.com/new-cars/info/21749/ora-good-cat-electric/pricing,63 kWh,"$171,999","$123,890 (Category A COE)","$1,531 /yr","$27,320",$248 (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21749/ora-good-cat-electric/specs,ORA Good Cat Electric 63 kWh (A),Electric Motor,Lithium-ion,Electric,Front-wheel drive,Single-speed (A),105 kW (141 bhp),210 Nm,11 s (0-100 km/h),150 km/h,Hatchback,5,4235 x 1825 x 1596 mm,"2,650 mm","5,600 mm","1,580 kg",228 L,63 kWh,420 km,6 km/kWh,11 kW,6.3 h,67 kW,1 h,Macpherson Independent Suspension,Torsion Beam,Disc,Disc,"18 """
https://www.sgcarmart.com/new-cars/info/21749/ora-good-cat-electric/pricing,GT-Line 63 kWh,"$176,999","$123,890 (Category A COE)","$1,531 /yr","$27,320",- (After VES & EEAI rebates),"$25,000 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/21749/ora-good-cat-electric/specs,ORA Good Cat Electric 63 kWh (A),Electric Motor,Lithium-ion,Electric,Front-wheel drive,Single-speed (A),105 kW (141 bhp),210 Nm,11 s (0-100 km/h),150 km/h,Hatchback,5,4254 x 1848 x 1603 mm,"2,650 mm","5,600 mm","1,580 kg",228 L,63 kWh,420 km,6 km/kWh,11 kW,6.3 h,67 kW,1 h,Macpherson Independent Suspension,Torsion Beam,Disc,Disc,"18 """
https://www.sgcarmart.com/new-cars/info/22146/lexus-es-350e-electric/pricing,Pure Electric 74.69 kWh,"$399,800","$129,910 (Category B COE)","$1,896 /yr",-,- (After VES & EEAI rebates),"$22,500 (Rebate)",,https://www.sgcarmart.com/new-cars/info/22146/lexus-es-350e-electric/specs,Lexus ES 350e Electric Pure Electric 74.69 kWh (A),Single Electric Motor,Lithium-ion,Electric,Front-wheel drive,Single-speed (A),165 kW (221 bhp),269 Nm,8 s (0-100 km/h),160 km/h,Luxury,5,5140 x 1920 x 1560 mm,"2,950 mm","5,900 mm","2,205 kg",517 L,74.69 kWh,510 km,6.1 km/kWh,22 kW,4.5 h,150 kW,0.5 h,MacPherson Strut,Multi-Link,Ventilated Disc,Ventilated Disc,"19 """
https://www.sgcarmart.com/new-cars/info/22101/deepal-s05-electric/pricing,68.82 kWh,"$189,999","$123,890 (Category A COE)","$1,496 /yr",-,- (After VES & EEAI rebates),"$22,500 (Rebate)",,https://www.sgcarmart.com/new-cars/info/22101/deepal-s05-electric/specs,DEEPAL S05 Electric 68.82 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Rear-wheel drive,Single-speed (A),99 kW (133 bhp),290 Nm,11.4 s (0-100 km/h),180 km/h,SUV,5,4620 x 1900 x 1600 mm,"2,880 mm","5,750 mm","1,931 kg",492 L,68.82 kWh,485 km,6 km/kWh,6.6 kW,,200 kW,0.25 h,McPherson Strut,Multi-Link,Ventilated Disc,Disc,"20 """
https://www.sgcarmart.com/new-cars/info/22028/dongfeng-007-electric/pricing,Prestige 58.35 kWh,"$190,888","$123,890 (Category A COE)","$1,496 /yr","$27,675",$745 (After VES & EEAI rebates),"$22,500 (Rebate)","$7,500 (Rebate)",https://www.sgcarmart.com/new-cars/info/22028/dongfeng-007-electric/specs,Dongfeng 007 Electric Performance 73.48 kWh (A),Single Electric Motor,Lithium Iron Phosphate,Electric,Rear-wheel drive,Single-speed (A),99 kW (133 bhp),310 Nm,8.2 s (0-100 km/h),173 km/h,Sedan,5,4880 x 1895 x 1465 mm,"2,915 mm",unknown,"1,852 kg",452 L,58.35 kWh,550 km,6 km/kWh,6.6 kW,14 h,200 kW,0.2 h,McPherson Independent,Multi-Link Independent,Disc,Disc,"18 """
